latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
6.80590493,2.86593283,18.9446,0.7589,"POLYGON((2.86595126297702 6.80588352687705, 2.865948785239 6.80592824107103, 2.86591438120133 6.80592633635657, 2.86591685894245 6.80588162216283, 2.86595126297702 6.80588352687705))",6FR4RV48+9975
6.79816106,2.85141547,24.3090,0.6926,"POLYGON((2.85142116821092 6.79813009396657, 2.85144674904998 6.79816476368955, 2.85140975959874 6.79819203252952, 2.85138417876113 6.7981573628051, 2.85142116821092 6.79813009396657))",6FR4QVX2+7H7F
6.79949876,2.85211178,32.0041,0.6833,"POLYGON((2.85214709119017 6.79947278935284, 2.85210344685197 6.79954177203077, 2.85207645397641 6.79952470888941, 2.85212009831646 6.79945572621391, 2.85214709119017 6.79947278935284))",6FR4QVX2+QRXW
6.79860889,2.85157650,162.5099,0.8936,"POLYGON((2.8516531851027 6.79856654653732, 2.85157425379113 6.79869643686515, 2.85149981344436 6.79865124039296, 2.85157874476786 6.79852135007722, 2.8516531851027 6.79856654653732))",6FR4QVX2+CJW7
6.80170914,2.85560511,89.2496,0.8981,"POLYGON((2.85566482111162 6.80169717054387, 2.85562857917919 6.80176531116571, 2.85554540419503 6.80172111180917, 2.85558164613559 6.80165297119359, 2.85566482111162 6.80169717054387))",6FR4RV24+M6Q7
6.82084543,2.88295879,92.0108,0.8691,"POLYGON((2.88302009201241 6.82084297356804, 2.88296671952619 6.8209062399356, 2.88289748413523 6.82084788796617, 2.8829508566238 6.82078462160618, 2.88302009201241 6.82084297356804))",6FR4RVCM+85PW
6.80192790,2.85323242,35.6193,0.6966,"POLYGON((2.85325322053284 6.80189451572321, 2.85325648707424 6.80195901857277, 2.85321162375767 6.80196128853095, 2.85320835722139 6.80189678568029, 2.85325322053284 6.80189451572321))",6FR4RV23+Q7H3
6.79547548,2.89456029,34.7009,0.7899,"POLYGON((2.89459041579593 6.79545117447577, 2.89457321702775 6.79551196008761, 2.89453016322683 6.79549978877482, 2.8945473619999 6.79543900316459, 2.89459041579593 6.79545117447577))",6FR4QVWV+5RV5
6.82926772,2.89958313,837.1833,0.9457,"POLYGON((2.89980486585912 6.82918526981357, 2.89945760136927 6.82946815528152, 2.89936138589743 6.82935016067021, 2.89970865035892 6.82906727527263, 2.89980486585912 6.82918526981357))",6FR4RVHX+PR4P
6.80201217,2.85250454,78.5958,0.8392,"POLYGON((2.85255586229827 6.80198551663594, 2.85254486554594 6.80205360297583, 2.85245323051601 6.80203881585688, 2.85246422728052 6.80197072951943, 2.85255586229827 6.80198551663594))",6FR4RV23+R22C
6.80483801,2.90713059,70.3501,0.8941,"POLYGON((2.907181431605 6.80482124170865, 2.90714700857976 6.80488894534633, 2.90707974572767 6.80485477695511, 2.90711416875978 6.80478707332218, 2.907181431605 6.80482124170865))",6FR4RW34+WVJC
6.83193975,2.90983451,95.2016,0.6691,"POLYGON((2.90988352371226 6.83197851062895, 2.90980174030333 6.8319929402509, 2.90978549967173 6.83190098516605, 2.9098672830656 6.83188655554654, 2.90988352371226 6.83197851062895))",6FR4RWJ5+QWGG
6.82778522,2.89688830,13.2240,0.6751,"POLYGON((2.89690944523606 6.827795108228, 2.89687543221817 6.8278046855117, 2.89686716237799 6.82777534484324, 2.89690117539388 6.82776576756, 2.89690944523606 6.827795108228))",6FR4RVHW+4Q6F
6.79971489,2.85147865,251.8602,0.9356,"POLYGON((2.85145659848105 6.79982342533976, 2.85137578913434 6.79975604218992, 2.85150071594665 6.79960635401539, 2.8515815252867 6.7996737371448, 2.85145659848105 6.79982342533976))",6FR4QVX2+VHQF
6.82816913,2.90111549,153.1805,0.8773,"POLYGON((2.9011208 6.8282743, 2.9010607 6.828259, 2.9011102 6.828064, 2.9011703 6.8280792, 2.9011208 6.8282743))",6FR4RWH2+7C9P
6.79889220,2.85593442,62.1396,0.6871,"POLYGON((2.85592555016152 6.79894836884842, 2.85588494056872 6.79892024783665, 2.85594330794588 6.79883603255686, 2.85598391753487 6.79886415356449, 2.85592555016152 6.79894836884842))",6FR4QVX4+H93Q
